Date,Value
01/03/1995,3137.899902
01/04/1995,3216.699951
01/05/1995,3319.399902
01/06/1995,3314.600098
01/07/1995,3463.300049
01/08/1995,3477.800049
01/09/1995,3508.199951
01/10/1995,3529.100098
01/11/1995,3664.300049
01/12/1995,3689.300049
01/01/1996,3759.300049
01/02/1996,3727.600098
01/03/1996,3699.699951
01/04/1996,3817.899902
01/05/1996,3747.800049
01/06/1996,3711
01/07/1996,3703.199951
01/08/1996,3867.600098
01/09/1996,3953.699951
01/10/1996,3979.100098
01/11/1996,4058
01/12/1996,4118.5
01/01/1997,4275.799805
01/02/1997,4308.299805
01/03/1997,4312.899902
01/04/1997,4436
01/05/1997,4621.299805
01/06/1997,4604.600098
01/07/1997,4907.5
01/08/1997,4817.5
01/09/1997,5244.200195
01/10/1997,4842.299805
01/11/1997,4831.799805
01/12/1997,5135.5
01/01/1998,5458.5
01/02/1998,5767.299805
01/03/1998,5932.200195
01/04/1998,5928.399902
01/05/1998,5870.700195
01/06/1998,5832.600098
01/07/1998,5837.100098
01/08/1998,5249.399902
01/09/1998,5064.399902
01/10/1998,5438.399902
01/11/1998,5743.899902
01/12/1998,5882.600098
01/01/1999,5896
01/02/1999,6175.100098
01/03/1999,6295.299805
01/04/1999,6552.200195
01/05/1999,6226.200195
01/06/1999,6318.5
01/07/1999,6231.899902
01/08/1999,6246.399902
01/09/1999,6029.799805
01/10/1999,6255.700195
01/11/1999,6597.200195
01/12/1999,6930.200195
01/01/2000,6268.5
01/02/2000,6232.600098
01/03/2000,6540.200195
01/04/2000,6327.399902
01/05/2000,6359.399902
01/06/2000,6312.700195
01/07/2000,6365.299805
01/08/2000,6672.700195
01/09/2000,6294.200195
01/10/2000,6438.399902
01/11/2000,6142.200195
01/12/2000,6222.5
01/01/2001,6297.5
01/02/2001,5917.899902
01/03/2001,5633.700195
01/04/2001,5967
01/05/2001,5796.200195
01/06/2001,5642.5
01/07/2001,5529.100098
01/08/2001,5345
01/09/2001,4903.399902
01/10/2001,5039.700195
01/11/2001,5203.600098
01/12/2001,5217.399902
01/01/2002,5164.799805
