Date,Value
01/03/1995,0.039039703
01/04/1995,0.026322507
01/05/1995,0.033179735
01/06/1995,-0.011245995
01/07/1995,0.046251012
01/08/1995,0.005522334
01/09/1995,0.006743766
01/10/1995,0.005269754
01/11/1995,0.0417342
01/12/1995,0.009660659
01/01/1996,0.018973789
01/02/1996,-0.006847295
01/03/1996,-0.00799036
01/04/1996,0.034072696
01/05/1996,-0.018103659
01/06/1996,-0.006957453
01/07/1996,-0.001940478
01/08/1996,0.042676528
01/09/1996,0.02065209
01/10/1996,0.006169911
01/11/1996,0.018906784
01/12/1996,0.01543433
01/01/1997,0.03819347
01/02/1997,0.008426375
01/03/1997,0.004541855
01/04/1997,0.05490949
01/05/1997,0.041795331
01/06/1997,-0.008633517
01/07/1997,0.065458098
01/08/1997,-0.019757477
01/09/1997,0.088776334
01/10/1997,-0.076143798
01/11/1997,-0.009268033
01/12/1997,0.054149433
01/01/1998,0.062895531
01/02/1998,0.031735792
01/03/1998,0.028592304
01/04/1998,-0.000421521
01/05/1998,-0.010450553
01/06/1998,-0.006489873
01/07/1998,-0.000599253
01/08/1998,-0.099928033
01/09/1998,-0.014612335
01/10/1998,0.082311756
01/11/1998,0.053095742
01/12/1998,0.027833645
01/01/1999,0.002277888
01/02/1999,0.042035116
01/03/1999,0.019069171
01/04/1999,0.042829191
01/05/1999,-0.04975428
01/06/1999,0.01404269
01/07/1999,-0.022002196
01/08/1999,0.002889988
01/09/1999,-0.035401816
01/10/1999,0.037463995
01/11/1999,0.054590212
01/12/1999,0.050475958
01/01/2000,-0.095480675
01/02/2000,-0.005727032
01/03/2000,0.049353415
01/04/2000,-0.032537275
01/05/2000,0.00505737
01/06/2000,-0.007327789
01/07/2000,0.008332347
01/08/2000,0.048293152
01/09/2000,-0.056723663
01/10/2000,0.022909933
01/11/2000,-0.046005174
01/12/2000,0.013073459
01/01/2001,0.012053033
01/02/2001,-0.060277904
01/03/2001,-0.048023744
01/04/2001,0.059161793
01/05/2001,-0.028607771
01/06/2001,-0.026500594
01/07/2001,-0.020097457
01/08/2001,-0.033296575
01/09/2001,-0.082619289
01/10/2001,0.027797099
01/11/2001,0.032521757
01/12/2001,0.002651972
01/01/2002,-0.010081669
01/02/2002,-0.012352813
01/03/2002,0.033483592
01/04/2002,-0.020144867
01/05/2002,-0.015583862
01/06/2002,-0.084305164
01/07/2002,-0.088093745
01/08/2002,-0.00445113
01/09/2002,-0.119579821
01/10/2002,0.085415632
01/11/2002,0.032106333
01/12/2002,-0.054923971
01/01/2003,-0.094660443
01/02/2003,0.024723944
01/03/2003,-0.011571301
01/04/2003,0.086541374
01/05/2003,0.031100382
01/06/2003,-0.004174834
01/07/2003,0.031206601
01/08/2003,0.000986312
01/09/2003,-0.016774422
01/10/2003,0.047979871
01/11/2003,0.012827689
01/12/2003,0.030926127
01/01/2004,-0.01925433
01/02/2004,0.023117042
01/03/2004,-0.023707759
01/04/2004,0.023713431
01/05/2004,-0.013141189
01/06/2004,0.00753829
01/07/2004,-0.011424475
01/08/2004,0.010468765
01/09/2004,0.025003925
01/10/2004,0.011682942
01/11/2004,0.017084035
01/12/2004,0.023622131
01/01/2005,0.007893152
01/02/2005,0.023947448
01/03/2005,-0.014913978
01/04/2005,-0.018939954
01/05/2005,0.033800487
01/06/2005,0.030056445
01/07/2005,0.033071189
01/08/2005,0.002763966
