Date,Value
2019,2089402
2018,2060494
2017,2033234
2016,1995478
2015,1957920
2014,1912866
2013,1864255
2012,1825204
2011,1798603
2010,1771321
2009,1737448
2008,1814526
2007,1819641
2006,1776462
2005,1728273
2004,1675011
2003,1636169
2002,1584110
2001,1548124
2000,1503408
1999,1453448
1998,1405272
1997,1355853
1996,1305527
1995,1273790
1994,1242342
1993,1196331
1992,1167268
1991,1162605
1990,1175573
1989,1167010
1988,1137685
1987,1076004
1986,1020947
1985,989766
1984,950351
1983,929265
1982,891622
1981,874183
1980,881124
1979,899394
1978,866894
1977,831918
1976,811962
1975,789000
1974,800801
1973,821203
1972,770910
1971,738974
1970,713952
1969,695124
1968,681901
1967,646519
1966,629058
1965,619350
1964,606431
1963,574300
1962,547685
1961,541733
1960,527484
1959,495991
1958,476145
1957,469774
1956,460617
1955,452937
1954,435905
1953,417697
1952,395673
1951,389760
1950,375806
1949,363622
1948,351900
