Value,Date
3.4,Jan-11
3.7,Feb-11
3.5,Mar-11
3.8,Apr-11
3.8,May-11
3.6,Jun-11
3.8,Jul-11
3.9,Aug-11
4.5,Sep-11
4.3,Oct-11
4.1,Nov-11
3.7,Dec-11
3.2,Jan-12
3.1,Feb-12
3.1,Mar-12
2.8,Apr-12
2.5,May-12
2.3,Jun-12
2.4,Jul-12
2.3,Aug-12
2.1,Sep-12
2.4,Oct-12
2.4,Nov-12
2.4,Dec-12
2.4,Jan-13
2.5,Feb-13
2.5,Mar-13
2.2,Apr-13
2.4,May-13
2.6,Jun-13
2.5,Jul-13
2.4,Aug-13
2.4,Sep-13
2,Oct-13
1.9,Nov-13
1.9,Dec-13
1.8,Jan-14
1.6,Feb-14
1.5,Mar-14
1.7,Apr-14
1.5,May-14
1.8,Jun-14
1.6,Jul-14
1.5,Aug-14
1.3,Sep-14
1.3,Oct-14
1.1,Nov-14
0.7,Dec-14
0.5,Jan-15
0.4,Feb-15
0.3,Mar-15
0.3,Apr-15
0.4,May-15
0.3,Jun-15
0.5,Jul-15
0.4,Aug-15
0.2,Sep-15
0.2,Oct-15
0.4,Nov-15
0.5,Dec-15
0.6,Jan-16
0.6,Feb-16
0.8,Mar-16
0.7,Apr-16
0.7,May-16
0.8,Jun-16
0.9,Jul-16
1,Aug-16
1.3,Sep-16
1.3,Oct-16
1.5,Nov-16
1.8,Dec-16
1.9,Jan-17
2.3,Feb-17
2.3,Mar-17
2.6,Apr-17
2.7,May-17
2.6,Jun-17
2.6,Jul-17
2.7,Aug-17
2.8,Sep-17
2.8,Oct-17
2.8,Nov-17
2.7,Dec-17
2.7,Jan-18
2.5,Feb-18
2.3,Mar-18
2.2,Apr-18
2.3,May-18
2.3,Jun-18
2.3,Jul-18
2.4,Aug-18
2.2,Sep-18
2.2,Oct-18
2.2,Nov-18
2,Dec-18
1.8,Jan-19
1.8,Feb-19
1.8,Mar-19
2,Apr-19
1.9,May-19
1.9,Jun-19
2,Jul-19
1.7,Aug-19
1.7,Sep-19
1.5,Oct-19
1.5,Nov-19
1.4,Dec-19
