Date,Value
Jan-20,0.0075
Dec-19,0.0075
Nov-19,0.0075
Oct-19,0.0075
Sep-19,0.0075
Aug-19,0.0075
Jul-19,0.0075
Jun-19,0.0075
May-19,0.0075
Apr-19,0.0075
Mar-19,0.0075
Feb-19,0.0075
Jan-19,0.0075
Dec-18,0.0075
Nov-18,0.0075
Oct-18,0.0075
Sep-18,0.0075
Aug-18,0.0075
Jul-18,0.0050
Jun-18,0.0050
May-18,0.0050
Apr-18,0.0050
Mar-18,0.0050
Feb-18,0.0050
Jan-18,0.0050
Dec-17,0.0050
Nov-17,0.0050
Oct-17,0.0025
Sep-17,0.0025
Aug-17,0.0025
Jul-17,0.0025
Jun-17,0.0025
May-17,0.0025
Apr-17,0.0025
Mar-17,0.0025
Feb-17,0.0025
Jan-17,0.0025
Dec-16,0.0025
Nov-16,0.0025
Oct-16,0.0025
Sep-16,0.0025
Aug-16,0.0025
Jul-16,0.0050
Jun-16,0.0050
May-16,0.0050
Apr-16,0.0050
Mar-16,0.0050
Feb-16,0.0050
Jan-16,0.0050
Dec-15,0.0050
Nov-15,0.0050
Oct-15,0.0050
Sep-15,0.0050
Aug-15,0.0050
Jul-15,0.0050
Jun-15,0.0050
May-15,0.0050
Apr-15,0.0050
Mar-15,0.0050
Feb-15,0.0050
Jan-15,0.0050
Dec-14,0.0050
Nov-14,0.0050
Oct-14,0.0050
Sep-14,0.0050
Aug-14,0.0050
Jul-14,0.0050
Jun-14,0.0050
May-14,0.0050
Apr-14,0.0050
Mar-14,0.0050
Feb-14,0.0050
Jan-14,0.0050
Dec-13,0.0050
Nov-13,0.0050
Oct-13,0.0050
Sep-13,0.0050
Aug-13,0.0050
Jul-13,0.0050
Jun-13,0.0050
May-13,0.0050
Apr-13,0.0050
Mar-13,0.0050
Feb-13,0.0050
Jan-13,0.0050
Dec-12,0.0050
Nov-12,0.0050
Oct-12,0.0050
Sep-12,0.0050
Aug-12,0.0050
Jul-12,0.0050
Jun-12,0.0050
May-12,0.0050
Apr-12,0.0050
Mar-12,0.0050
Feb-12,0.0050
Jan-12,0.0050
Dec-11,0.0050
Nov-11,0.0050
Oct-11,0.0050
Sep-11,0.0050
Aug-11,0.0050
Jul-11,0.0050
Jun-11,0.0050
May-11,0.0050
Apr-11,0.0050
Mar-11,0.0050
Feb-11,0.0050
Jan-11,0.0050
Dec-10,0.0050
Nov-10,0.0050
Sep-10,0.0050
Aug-10,0.0050
Jul-10,0.0050
Jun-10,0.0050
May-10,0.0050
Apr-10,0.0050
Mar-10,0.0050
Feb-10,0.0050
Jan-10,0.0050
Dec-09,0.0050
Nov-09,0.0050
Oct-09,0.0050
Sep-09,0.0050
Aug-09,0.0050
Jul-09,0.0050
Jun-09,0.0050
May-09,0.0050
Apr-09,0.0050
Feb-09,0.0100
Jan-09,0.0150
Dec-08,0.0200
Nov-08,0.0300
Oct-08,0.0450
Sep-08,0.0500
Aug-08,0.0500
