Date,Value
 Apr-1998,0.0591
 May-1998,0.0582
 Jun-1998,0.0617
 Jul-1998,0.0606
 Aug-1998,0.0552
 Sep-1998,0.05
 Oct-1998,0.0498
 Nov-1998,0.0471
 Dec-1998,0.044
 Jan-1999,0.043
 Feb-1999,0.0445
 Mar-1999,0.047
 Apr-1999,0.0467
 May-1999,0.0493
 Jun-1999,0.0526
 Jul-1999,0.0548
 Aug-1999,0.0569
 Sep-1999,0.0596
 Oct-1999,0.0624
 Nov-1999,0.0589
 Dec-1999,0.0595
 Jan-2000,0.0635
 Feb-2000,0.0622
 Mar-2000,0.06
 Apr-2000,0.0594
 May-2000,0.059
 Jun-2000,0.0577
 Jul-2000,0.0573
 Aug-2000,0.058
 Sep-2000,0.0579
 Oct-2000,0.0564
 Nov-2000,0.0548
 Dec-2000,0.0529
 Jan-2001,0.0519
 Feb-2001,0.0515
 Mar-2001,0.0495
 Apr-2001,0.0501
 May-2001,0.052
 Jun-2001,0.0531
 Jul-2001,0.0532
 Aug-2001,0.0508
 Sep-2001,0.0493
 Oct-2001,0.0477
 Nov-2001,0.0458
 Dec-2001,0.0491
 Jan-2002,0.0496
 Feb-2002,0.0498
 Mar-2002,0.0528
 Apr-2002,0.0527
 May-2002,0.0527
 Jun-2002,0.051
 Jul-2002,0.0492
 Aug-2002,0.0457
 Sep-2002,0.0433
 Oct-2002,0.0439
 Nov-2002,0.0441
 Dec-2002,0.0437
 Jan-2003,0.0417
 Feb-2003,0.039
 Mar-2003,0.0394
 Apr-2003,0.0408
 May-2003,0.0383
 Jun-2003,0.0369
 Jul-2003,0.0391
 Aug-2003,0.0431
 Sep-2003,0.0443
 Oct-2003,0.047
 Nov-2003,0.0488
 Dec-2003,0.0468
 Jan-2004,0.0459
 Feb-2004,0.0461
 Mar-2004,0.0454
 Apr-2004,0.0482
 May-2004,0.0503
 Jun-2004,0.0517
 Jul-2004,0.0507
 Aug-2004,0.0496
 Sep-2004,0.0485
 Oct-2004,0.0467
 Nov-2004,0.0461
 Dec-2004,0.0447
 Jan-2005,0.0448
 Feb-2005,0.0461
 Mar-2005,0.0479
 Apr-2005,0.0459
 May-2005,0.0436
 Jun-2005,0.042
 Jul-2005,0.0417
 Aug-2005,0.0424
 Sep-2005,0.0415
 Oct-2005,0.0429
 Nov-2005,0.0434
 Dec-2005,0.0428
 Jan-2006,0.042
 Feb-2006,0.0426
 Mar-2006,0.044
 Apr-2006,0.0454
 May-2006,0.0473
 Jun-2006,0.0474
 Jul-2006,0.0473
 Aug-2006,0.0478
 Sep-2006,0.0475
 Oct-2006,0.0485
 Nov-2006,0.0484
 Dec-2006,0.0492
 Jan-2007,0.0522
 Feb-2007,0.0526
 Mar-2007,0.0515
 Apr-2007,0.0527
 May-2007,0.0541
 Jun-2007,0.0568
 Jul-2007,0.0563
 Aug-2007,0.0533
 Sep-2007,0.0509
 Oct-2007,0.0502
 Nov-2007,0.0471
 Dec-2007,0.0462
 Jan-2008,0.0433
 Feb-2008,0.0431
 Mar-2008,0.0402
 Apr-2008,0.0425
 May-2008,0.0467
 Jun-2008,0.0523
 Jul-2008,0.0493
 Aug-2008,0.0457
 Sep-2008,0.044
 Oct-2008,0.0407
 Nov-2008,0.0331
 Dec-2008,0.0281
 Jan-2009,0.028
 Feb-2009,0.0266
 Mar-2009,0.0231
 Apr-2009,0.0272
 May-2009,0.0277
 Jun-2009,0.0307
 Jul-2009,0.031
 Aug-2009,0.0286
 Sep-2009,0.0264
 Oct-2009,0.0253
 Nov-2009,0.0259
 Dec-2009,0.0252
 Jan-2010,0.0302
 Feb-2010,0.0292
 Mar-2010,0.0279
 Apr-2010,0.0275
 May-2010,0.024
 Jun-2010,0.0219
 Jul-2010,0.0208
 Aug-2010,0.0181
 Sep-2010,0.0171
 Oct-2010,0.0156
 Nov-2010,0.0176
 Dec-2010,0.0206
 Jan-2011,0.0261
 Feb-2011,0.0281
 Mar-2011,0.0256
 Apr-2011,0.0257
 May-2011,0.0223
 Jun-2011,0.0199
 Jul-2011,0.0183
 Aug-2011,0.0135
 Sep-2011,0.0122
 Oct-2011,0.0153
 Nov-2011,0.0127
 Dec-2011,0.0109
 Jan-2012,0.0105
 Feb-2012,0.0103
 Mar-2012,0.0109
 Apr-2012,0.0102
 May-2012,0.0086
 Jun-2012,0.0072
 Jul-2012,0.0057
 Aug-2012,0.0055
 Sep-2012,0.0075
 Oct-2012,0.0077
 Nov-2012,0.0079
 Dec-2012,0.0084
 Jan-2013,0.0098
 Feb-2013,0.0091
 Mar-2013,0.0079
 Apr-2013,0.0067
