Date,IR,Inflation,GDP,RF,Mortality
31/1/71,,,,0.036702352,
28/2/71,,,,0.032918529,
31/3/71,,,,0.028729296,
30/4/71,,,,0.0246752,
31/5/71,,,,0.020485967,
30/6/71,,,,0.016431871,
31/7/71,,,,0.012242639,
31/8/71,,,,0.008053406,
30/9/71,,,,0.00399931,
31/10/71,,,,-0.000189923,
30/11/71,,,,-0.004244019,
31/12/71,,,,-0.008433251,
31/1/72,,,,-0.008170785,
29/2/72,,,,-0.007786436,
31/3/72,,,,-0.007375579,
30/4/72,,,,-0.006977976,
31/5/72,,,,-0.00656712,
30/6/72,,,,-0.006169517,
31/7/72,,,,-0.005758661,
31/8/72,,,,-0.005347805,
30/9/72,,,,-0.004950202,
31/10/72,,,,-0.004539345,
30/11/72,,,,-0.004141742,
31/12/72,,,,-0.003730886,
31/1/73,,,,-0.004000806,
28/2/73,,,,-0.004265102,
31/3/73,,,,-0.004557715,
30/4/73,,,,-0.004840888,
31/5/73,,,,-0.005133501,
30/6/73,,,,-0.005416675,
31/7/73,,,,-0.005709287,
31/8/73,,,,-0.0060019,
30/9/73,,,,-0.006285074,
31/10/73,,,,-0.006577687,
30/11/73,,,,-0.00686086,
31/12/73,,,,-0.007153473,
31/1/74,,,,-0.00431808,
28/2/74,,,,-0.001662904,
31/3/74,,,,0.001276755,
30/4/74,,,,0.004121587,
31/5/74,,,,0.007061247,
30/6/74,,,,0.009906078,
31/7/74,,,,0.012845738,
31/8/74,,,,0.015785397,
30/9/74,,,,0.018630229,
31/10/74,,,,0.021569889,
30/11/74,,,,0.024414721,
31/12/74,,,,0.02735438,
31/1/75,,,,0.022073777,
28/2/75,,,,0.017056708,
31/3/75,,,,0.011502097,
30/4/75,,,,0.006126666,
31/5/75,,,,0.000572054,
30/6/75,,,,-0.004803377,
31/7/75,,,,-0.010357988,
31/8/75,,,,-0.0159126,
30/9/75,,,,-0.021288031,
31/10/75,,,,-0.026842642,
30/11/75,,,,-0.032218073,
31/12/75,,,,-0.037772685,
31/1/76,,,,-0.03333161,
29/2/76,,,,-0.028865363,
31/3/76,,,,-0.024091098,
30/4/76,,,,-0.019470842,
31/5/76,,,,-0.014696578,
30/6/76,,,,-0.010076322,
31/7/76,,,,-0.005302058,
31/8/76,,,,-0.000527793,
30/9/76,,,,0.004092462,
31/10/76,,,,0.008866727,
30/11/76,,,,0.013486983,
31/12/76,,,,0.018261247,
31/1/77,,,,0.017839602,
28/2/77,,,,0.017302326,
31/3/77,,,,0.016707484,
30/4/77,,,,0.01613183,
31/5/77,,,,0.015536989,
30/6/77,,,,0.014961335,
31/7/77,,,,0.014366493,
31/8/77,,,,0.013771651,
30/9/77,,,,0.013195998,
31/10/77,,,,0.012601156,
30/11/77,,,,0.012025503,
31/12/77,,,,0.011430661,
31/1/78,,,,0.008614158,
28/2/78,,,,0.006003331,
31/3/78,,,,0.003112772,
30/4/78,,,,0.000315457,
31/5/78,,,,-0.002575101,
30/6/78,,,,-0.005372416,
31/7/78,,,,-0.008262974,
31/8/78,,,,-0.011153533,
30/9/78,,,,-0.013950847,
31/10/78,,,,-0.016841406,
30/11/78,,,,-0.019638721,
31/12/78,,,,-0.022529279,
31/1/79,,,,-0.021245367,
28/2/79,,,,-0.019960021,
31/3/79,,,,-0.01853696,
30/4/79,,,,-0.017159804,
31/5/79,,,,-0.015736742,
30/6/79,,,,-0.014359586,
31/7/79,,,,-0.012936525,
31/8/79,,,,-0.011513463,
30/9/79,,,,-0.010136307,
31/10/79,,,,-0.008713246,
30/11/79,,,,-0.00733609,
31/12/79,,,,-0.005913028,
31/1/80,,,,-0.004689911,
29/2/80,,,,-0.003551939,
31/3/80,,,,-0.002335487,
30/4/80,,,,-0.001158274,
31/5/80,,,,5.82E-05,
30/6/80,,,,0.00123539,
31/7/80,,,,0.002451843,
31/8/80,,,,0.003668296,
30/9/80,,,,0.004845508,
31/10/80,,,,0.00606196,
30/11/80,,,,0.007239173,
31/12/80,,,,0.008455625,
31/1/81,,,,0.007300249,
28/2/81,,,,0.006185273,
31/3/81,,,,0.004950836,
30/4/81,,,,0.003756219,
31/5/81,,,,0.002521782,
30/6/81,,,,0.001327165,
31/7/81,,,,9.27E-05,
31/8/81,,,,-0.001141709,
30/9/81,,,,-0.002336326,
31/10/81,,,,-0.003570763,
30/11/81,,,,-0.00476538,
31/12/81,,,,-0.005999817,
31/1/82,,,,-0.007468047,
28/2/82,,,,-0.008801229,
31/3/82,,,,-0.010277251,
30/4/82,,,,-0.01170566,
31/5/82,,,,-0.013181683,
30/6/82,,,,-0.014610092,
31/7/82,,,,-0.016086114,
31/8/82,,,,-0.017562137,
30/9/82,,,,-0.018990546,
31/10/82,,,,-0.020466569,
30/11/82,,,,-0.021894978,
31/12/82,,,,-0.023371,
31/1/83,,,,-0.018487603,
28/2/83,,,,-0.013885325,
31/3/83,,,,-0.008789947,
30/4/83,,,,-0.003858935,
31/5/83,,,,0.001236443,
30/6/83,,,,0.006167455,
31/7/83,,,,0.011262833,
31/8/83,,,,0.016358211,
30/9/83,,,,0.021289223,
31/10/83,,,,0.026384601,
30/11/83,,,,0.031315613,
31/12/83,,,,0.036410991,
31/1/84,,,,0.032167721,
29/2/84,,,,0.027907006,
31/3/84,,,,0.023352448,
30/4/84,,,,0.018944811,
31/5/84,,,,0.014390253,
30/6/84,,,,0.009982616,
31/7/84,,,,0.005428058,
31/8/84,,,,0.0008735,
30/9/84,,,,-0.003534137,
31/10/84,,,,-0.008088695,
30/11/84,,,,-0.012496332,
31/12/84,,,,-0.01705089,
31/1/85,-0.035194494,,,-0.018022925,
28/2/85,-0.056415886,,,-0.018793032,
31/3/85,-0.021007653,,,-0.019645651,
30/4/85,-0.000660088,,,-0.020470765,
31/5/85,-0.08069188,,,-0.021323383,
30/6/85,-0.002779387,,,-0.022148498,
31/7/85,0,,,-0.023001116,
31/8/85,0,,,-0.023853734,
30/9/85,0,,,-0.024678848,
31/10/85,0,,,-0.025531467,
30/11/85,0,,,-0.026356581,
31/12/85,0,,,-0.027209199,
31/1/86,0,,,-0.024546448,
28/2/86,-0.087722786,,,-0.022035543,
31/3/86,-0.050150861,,,-0.019255612,
30/4/86,-0.001626339,,,-0.016565357,
31/5/86,0,,,-0.013785426,
30/6/86,0,,,-0.011095171,
31/7/86,0,,,-0.008315241,
31/8/86,0.092235658,,,-0.00553531,
30/9/86,0.003177006,,,-0.002845055,
31/10/86,0,,,-6.51E-05,
30/11/86,0,,,0.002625131,
31/12/86,0,,,0.005405062,
31/1/87,-0.092235658,,,0.005888357,
28/2/87,-0.052865326,,,0.006255736,
31/3/87,-0.05397774,,,0.006662478,
30/4/87,-0.001802241,,,0.007056098,
31/5/87,0,,,0.007462839,
30/6/87,0.101848498,,,0.00785646,
31/7/87,0.003398726,,,0.008263201,
31/8/87,-0.049638672,,,0.008669942,
30/9/87,-0.053974757,,,0.009063563,
31/10/87,-0.057058698,,,0.009470304,
30/11/87,-0.00190528,,,0.009863924,
31/12/87,0.055314594,,,0.010270666,
31/1/88,-0.053470774,,,0.007199797,
29/2/88,-0.060505097,,,0.004218607,
31/3/88,-0.064412266,,,0.001031818,
30/4/88,0.226357868,,,-0.002052171,
31/5/88,0.104480404,,,-0.00523896,
30/6/88,0.132416461,,,-0.008322949,
31/7/88,0.004307464,,,-0.011509738,
31/8/88,0,,,-0.014696527,
30/9/88,0.077374617,,,-0.017780516,
31/10/88,0.002582023,,,-0.020967305,
30/11/88,0,,,-0.024051294,
31/12/88,0,,,-0.027238083,
31/1/89,0,,,-0.02482292,
28/2/89,0,,,-0.02247282,
31/3/89,0.071717392,,,-0.019870925,
30/4/89,0.002470266,,,-0.017352961,
31/5/89,0,,,-0.014751066,
30/6/89,0,,,-0.012233103,
31/7/89,0,,,-0.009631207,
31/8/89,0.066767295,,,-0.007029311,
30/9/89,0.002299762,,,-0.004511348,
31/10/89,0,,,-0.001909453,
30/11/89,0,,,0.000608511,
31/12/89,0,,,0.003210406,
31/1/90,0,-0.01336816,-8.27E-05,0.001281759,
28/2/90,0,0.208361345,-0.004941801,-0.000596649,
31/3/90,0,0.067873735,-0.010321476,-0.002676315,
30/4/90,0,0.002097128,-0.008248773,-0.004688895,
31/5/90,0,0,-0.005847618,-0.00676856,
30/6/90,0,0.079186552,-0.00352392,-0.00878114,
31/7/90,0,0.034725269,-0.003275565,-0.010860806,
31/8/90,-0.066767295,0.001069426,-0.003098969,-0.012940472,
30/9/90,-0.002299762,0,-0.002928071,-0.014953052,
31/10/90,0,0,-0.002380769,-0.017032717,
30/11/90,0,-0.065193238,-0.001839164,-0.019045297,
31/12/90,-0.071717392,-0.048267185,-0.001279506,-0.021124963,
31/1/91,-0.040346109,0.01019396,-0.001569764,-0.016587328,
28/2/91,-0.040764806,-0.035066283,-0.001857522,-0.012289589,
31/3/91,-0.042503562,-0.063644181,-0.002176111,-0.007531377,
30/4/91,-0.001418654,0.023288781,-0.000936482,-0.002926656,
31/5/91,-0.043017835,-0.024619417,0.000399623,0.001831555,
30/6/91,-0.001481725,-0.000877244,0.001692629,0.006436276,
31/7/91,-0.04501937,-0.08069188,0.001193292,0.011194488,
31/8/91,-0.001500646,-0.060482537,0.000632775,0.015952699,
30/9/91,0,-0.001990641,9.03E-05,0.02055742,
31/10/91,0,0,-0.000336364,0.025315632,
30/11/91,0,-0.045677789,-0.000744985,0.029920353,
31/12/91,0,0.013959915,-0.001167226,0.034678564,
31/1/92,0,-0.014968061,0.001301559,0.027685701,
29/2/92,0,-0.170377207,0.003701219,0.020777559,
31/3/92,-0.047216288,-0.024465588,0.006266372,0.013392993,
30/4/92,-0.001626339,-0.100392031,0.006537907,0.006246638,
31/5/92,0,-0.024598433,0.006739715,-0.001137928,
30/6/92,0,-0.189952388,0.006935013,-0.008284282,
31/7/92,-0.101961789,-0.006314341,0.007028281,-0.015668848,
31/8/92,-0.117382309,-0.053777275,0.007117931,-0.023053414,
30/9/92,-0.133006447,-0.058731478,0.007204688,-0.030199768,
31/10/92,-0.004307464,-0.031677105,0.006469912,-0.037584334,
30/11/92,-0.149012324,-0.063412959,0.005732243,-0.044730688,
31/12/92,-0.004972603,0.029650199,0.004969986,-0.052115254,
31/1/93,0,0.031782283,0.005912749,-0.046272968,
28/2/93,0,-0.199089791,0.006815611,-0.040597837,
31/3/93,0,-0.125345453,0.007815209,-0.034314656,
30/4/93,0,-0.047056781,0.007454791,-0.028234158,
31/5/93,0,0.041583907,0.007035048,-0.021950977,
30/6/93,0,0.119997303,0.006628845,-0.01587048,
31/7/93,0,0.040477812,0.008269594,-0.009587299,
31/8/93,0,-0.112766153,0.009979026,-0.003304118,
30/9/93,-0.084110998,-0.133006447,0.011633315,0.00277638,
31/10/93,-0.002806819,0.08372974,0.01166024,0.009059561,
30/11/93,0,0.121547971,0.011632022,0.015140059,
31/12/93,-0.04501937,-0.073505771,0.011602863,0.02142324,
31/1/94,-0.001500646,-0.086786581,0.0115224,0.019286913,
28/2/94,0,0.080796279,0.01144818,0.017103836,
31/3/94,0,0.002806819,0.011366007,0.014686859,
30/4/94,0,-0.041140961,0.009669082,0.012347849,
31/5/94,0,-0.089410096,0.007857962,0.009930872,
30/6/94,0,0.041936956,0.006105264,0.007591862,
31/7/94,0.088037205,-0.140373684,0.0054566,0.005174884,
31/8/94,0.002934573,-0.057052262,0.004846685,0.002757907,
30/9/94,0,0.147210083,0.004256445,0.000418897,
31/10/94,0.08069188,0.049991973,0.004058265,-0.00199808,
30/11/94,0.002779387,0.085661665,0.003879759,-0.00433709,
31/12/94,0.074478427,-0.038379905,0.003695304,-0.006754067,
31/1/95,0.002482614,0.039813833,0.00552578,-0.00730437,
28/2/95,0,-0.039519642,0.007239779,-0.007745216,
31/3/95,0,0.117274518,0.00913742,-0.008233296,
30/4/95,0,0.040569061,0.006677109,-0.008705632,
31/5/95,0,0.036411924,0.003981686,-0.009193712,
30/6/95,0,-0.033943135,0.001373211,-0.009666047,
31/7/95,0,0.10078864,0.003847338,-0.010154127,
31/8/95,0,0.003398726,0.006493782,-0.010642207,
30/9/95,0,-0.0327715,0.009054858,-0.011114542,
31/10/95,-0.036522898,0.063446441,0.007319021,-0.011602622,
30/11/95,-0.039171367,-0.062245283,0.005497816,-0.012074958,
31/12/95,-0.001265184,0.030656619,0.003615904,-0.012563038,
31/1/96,-0.039505156,0.001093598,0.005275027,-0.012413778,
29/2/96,-0.001407655,-0.066613807,0.006937528,-0.012254274,
31/3/96,0,-0.002225576,0.008714685,-0.012083769,
30/4/96,-0.041140961,0,0.008422421,-0.011918765,
31/5/96,-0.001372891,-0.035194494,0.008048719,-0.011748261,
30/6/96,0,-0.001212255,0.007687073,-0.011583257,
31/7/96,0,0,0.009643584,-0.011412752,
31/8/96,0.041186724,0.101961789,0.01167777,-0.011242248,
30/9/96,0.001418654,0.035208846,0.013646336,-0.011077244,
31/10/96,0,-0.097441645,0.012043545,-0.010906739,
30/11/96,0,-0.075030463,0.010375134,-0.010741735,
31/12/96,0,-0.079851265,0.008651109,-0.01057123,
31/1/97,0,-0.086786581,0.008171219,-0.009744808,
28/2/97,0,-0.047966136,0.007775227,-0.008978614,
31/3/97,0.039505156,-0.001500646,0.007336808,-0.008130327,
30/4/97,0.039274089,0,0.008751577,-0.007309405,
31/5/97,0.037788082,0.129223928,0.010279035,-0.006461118,
30/6/97,0.0364134,-0.036689914,0.011757219,-0.005640196,
31/7/97,0.00117315,-0.044390726,0.010774289,-0.004791909,
31/8/97,0,-0.001433928,0.009707679,-0.003943623,
30/9/97,0.033921609,-0.044969348,0.008675476,-0.0031227,
31/10/97,0.001131978,-0.098355606,0.008687745,-0.002274414,
30/11/97,0,-0.055601096,0.008734421,-0.001453491,
31/12/97,0,-0.001744104,0.008782652,-0.000605205,
31/1/98,0,0.052323117,0.008124599,-0.003317965,
28/2/98,0,0.098440022,0.007508964,-0.005875414,
31/3/98,0,0.048247869,0.006827369,-0.008706876,
30/4/98,0.0327715,-0.140166025,0.007837263,-0.011447,0.055940438
31/5/98,0.001093598,-0.112366856,0.008940309,-0.014278462,-0.015524921
30/6/98,0,-0.062311322,0.010007773,-0.017018586,-0.09082051
31/7/98,0,0.056713356,0.008818564,-0.019850047,-0.098759044
31/8/98,-0.032807953,-0.056713356,0.007552947,-0.022681509,-0.007070342
30/9/98,-0.07020705,0.05658298,0.006328156,-0.025421633,-0.054017518
31/10/98,-0.076783555,0.109593344,0.004909185,-0.028253095,-0.067685258
30/11/98,-0.042026629,0.053291039,0.003531041,-0.030993219,-0.024492647
31/12/98,-0.085521397,-0.04798405,0.002106958,-0.033824681,0.032441377
31/1/99,-0.047826189,0.095200337,0.00744767,-0.03228108,0.054001337
28/2/99,-0.001661429,-0.043473249,0.012475211,-0.030755139,-0.004222657
31/3/99,0,-0.15885026,0.018041417,-0.029065703,0.052225615
30/4/99,-0.047163825,0.049835836,0.016973467,-0.027430765,0.064438301
31/5/99,-0.001573876,-0.053470774,0.015639927,-0.02574133,0.041742396
30/6/99,0,-0.060509082,0.014349405,-0.024106392,0.037717445
31/7/99,0.047216288,-0.001955633,0.012116212,-0.022416957,0.046077811
31/8/99,0.001573876,-0.062456633,0.00985303,-0.020727521,0.045924235
30/9/99,0.044969348,-0.002151284,0.007662854,-0.019092583,-0.054269722
31/10/99,0.001500646,0,0.006934777,-0.017403148,0.007946209
30/11/99,0.042970037,-0.215705433,0.006279706,-0.01576821,0.063232648
31/12/99,0.042620651,-0.007198179,0.005602799,-0.014078775,-0.017918826
31/1/00,0.001372891,-0.176440216,0.004640999,-0.01273057,-0.035516066
29/2/00,0,-0.108014345,0.003732368,-0.011479987,-0.010945512
31/3/00,0,0.098563063,0.002761072,-0.010143156,-0.006863026
30/4/00,0,0.179756189,0.002361043,-0.008849449,-0.021762821
31/5/00,0,0.005881341,0.001966917,-0.007512619,-0.007450863
30/6/00,0,-0.176244172,0.001585506,-0.006218912,0.011505756
31/7/00,0,0.248019561,0.005691764,-0.004882082,-0.001278271
31/8/00,0,0.080180756,0.009948035,-0.003545251,-0.025457174
