,Date,Value
0,Jan-20,0.75
1,Dec-19,0.75
2,Nov-19,0.75
3,Oct-19,0.75
4,Sep-19,0.75
5,Aug-19,0.75
6,Jul-19,0.75
7,Jun-19,0.75
8,May-19,0.75
9,Apr-19,0.75
10,Mar-19,0.75
11,Feb-19,0.75
12,Jan-19,0.75
13,Dec-18,0.75
14,Nov-18,0.75
15,Oct-18,0.75
16,Sep-18,0.75
17,Aug-18,0.75
18,Jul-18,0.50
19,Jun-18,0.50
20,May-18,0.50
21,Apr-18,0.50
22,Mar-18,0.50
23,Feb-18,0.50
24,Jan-18,0.50
25,Dec-17,0.50
26,Nov-17,0.50
27,Oct-17,0.25
28,Sep-17,0.25
29,Aug-17,0.25
30,Jul-17,0.25
31,Jun-17,0.25
32,May-17,0.25
33,Apr-17,0.25
34,Mar-17,0.25
35,Feb-17,0.25
36,Jan-17,0.25
37,Dec-16,0.25
38,Nov-16,0.25
39,Oct-16,0.25
40,Sep-16,0.25
41,Aug-16,0.25
42,Jul-16,0.50
43,Jun-16,0.50
44,May-16,0.50
45,Apr-16,0.50
46,Mar-16,0.50
47,Feb-16,0.50
48,Jan-16,0.50
49,Dec-15,0.50
50,Nov-15,0.50
51,Oct-15,0.50
52,Sep-15,0.50
53,Aug-15,0.50
54,Jul-15,0.50
55,Jun-15,0.50
56,May-15,0.50
57,Apr-15,0.50
58,Mar-15,0.50
59,Feb-15,0.50
60,Jan-15,0.50
61,Dec-14,0.50
62,Nov-14,0.50
63,Oct-14,0.50
64,Sep-14,0.50
65,Aug-14,0.50
66,Jul-14,0.50
67,Jun-14,0.50
68,May-14,0.50
69,Apr-14,0.50
70,Mar-14,0.50
71,Feb-14,0.50
72,Jan-14,0.50
73,Dec-13,0.50
74,Nov-13,0.50
75,Oct-13,0.50
76,Sep-13,0.50
77,Aug-13,0.50
78,Jul-13,0.50
79,Jun-13,0.50
80,May-13,0.50
81,Apr-13,0.50
82,Mar-13,0.50
83,Feb-13,0.50
84,Jan-13,0.50
85,Dec-12,0.50
86,Nov-12,0.50
87,Oct-12,0.50
88,Sep-12,0.50
89,Aug-12,0.50
90,Jul-12,0.50
91,Jun-12,0.50
92,May-12,0.50
93,Apr-12,0.50
94,Mar-12,0.50
95,Feb-12,0.50
96,Jan-12,0.50
97,Dec-11,0.50
98,Nov-11,0.50
99,Oct-11,0.50
100,Sep-11,0.50
101,Aug-11,0.50
102,Jul-11,0.50
103,Jun-11,0.50
104,May-11,0.50
105,Apr-11,0.50
106,Mar-11,0.50
107,Feb-11,0.50
108,Jan-11,0.50
109,Dec-10,0.50
110,Nov-10,0.50
111,Sep-10,0.50
112,Aug-10,0.50
113,Jul-10,0.50
114,Jun-10,0.50
115,May-10,0.50
116,Apr-10,0.50
117,Mar-10,0.50
118,Feb-10,0.50
119,Jan-10,0.50
120,Dec-09,0.50
121,Nov-09,0.50
122,Oct-09,0.50
123,Sep-09,0.50
124,Aug-09,0.50
125,Jul-09,0.50
126,Jun-09,0.50
127,May-09,0.50
128,Apr-09,0.50
129,Feb-09,1.00
130,Jan-09,1.50
131,Dec-08,2.00
132,Nov-08,3.00
133,Oct-08,4.50
134,Sep-08,5.00
135,Aug-08,5.00
136,Jul-08,5.00
137,Jun-08,5.00
138,May-08,5.00
139,Apr-08,5.00
140,Mar-08,5.25
141,Feb-08,5.25
142,Jan-08,5.50
143,Dec-07,5.50
144,Nov-07,5.75
145,Oct-07,5.75
146,Sep-07,5.75
147,Jul-07,5.75
148,Jun-07,5.50
149,May-07,5.50
150,Apr-07,5.25
151,Mar-07,5.25
152,Feb-07,5.25
153,Jan-07,5.25
154,Dec-06,5.00
155,Nov-06,5.00
156,Oct-06,4.75
157,Sep-06,4.75
158,Aug-06,4.75
159,Jul-06,4.50
160,Jun-06,4.50
161,May-06,4.50
162,Apr-06,4.50
163,Mar-06,4.50
164,Feb-06,4.50
165,Jan-06,4.50
166,Dec-05,4.50
167,Nov-05,4.50
168,Oct-05,4.50
169,Sep-05,4.50
170,Aug-05,4.50
171,Jul-05,4.75
172,Jun-05,4.75
173,May-05,4.75
174,Apr-05,4.75
175,Mar-05,4.75
176,Feb-05,4.75
177,Jan-05,4.75
178,Dec-04,4.75
179,Nov-04,4.75
180,Oct-04,4.75
181,Sep-04,4.75
182,Aug-04,4.75
183,Jul-04,4.50
184,Jun-04,4.50
185,May-04,4.25
186,Apr-04,4.00
187,Mar-04,4.00
188,Feb-04,4.00
189,Jan-04,3.75
190,Dec-03,3.75
191,Nov-03,3.75
192,Oct-03,3.50
193,Sep-03,3.50
194,Aug-03,3.50
195,Jul-03,3.50
196,Jun-03,3.75
197,May-03,3.75
198,Apr-03,3.75
199,Mar-03,3.75
200,Feb-03,3.75
201,Jan-03,4.00
202,Dec-02,4.00
203,Nov-02,4.00
204,Oct-02,4.00
205,Sep-02,4.00
206,Aug-02,4.00
207,Jul-02,4.00
208,Jun-02,4.00
209,May-02,4.00
210,Apr-02,4.00
211,Mar-02,4.00
212,Feb-02,4.00
213,Jan-02,4.00
214,Dec-01,4.00
215,Nov-01,4.00
216,Oct-01,4.50
217,Sep-01,4.75
218,Aug-01,5.00
219,Jul-01,5.25
220,Jun-01,5.25
221,May-01,5.25
222,Apr-01,5.50
223,Mar-01,5.75
224,Feb-01,5.75
225,Jan-01,6.00
226,Dec-00,6.00
227,Nov-00,6.00
228,Oct-00,6.00
229,Sep-00,6.00
230,Aug-00,6.00
231,Jul-00,6.00
232,Jun-00,6.00
233,May-00,6.00
234,Apr-00,6.00
235,Mar-00,6.00
236,Feb-00,6.00
237,Jan-00,5.75
238,Dec-99,5.50
239,Nov-99,5.50
240,Oct-99,5.25
241,Sep-99,5.25
242,Aug-99,5.00
243,Jul-99,5.00
244,Jun-99,5.00
245,May-99,5.25
246,Apr-99,5.25
247,Mar-99,5.25
248,Feb-99,5.50
249,Jan-99,6.00
250,Dec-98,6.25
251,Nov-98,6.75
252,Oct-98,7.25
253,Sep-98,7.50
254,Aug-98,7.50
255,Jul-98,7.50
256,Jun-98,7.50
257,May-98,7.25
258,Apr-98,7.25
259,Mar-98,7.25
260,Feb-98,7.25
261,Jan-98,7.25
262,Dec-97,7.25
263,Nov-97,7.25
264,Oct-97,7.00
265,Sep-97,7.00
266,Aug-97,7.00
267,Jul-97,6.75
268,Jun-97,6.50
269,May-97,6.25
270,Apr-97,6.00
271,Mar-97,6.00
272,Feb-97,6.00
273,Jan-97,6.00
274,Dec-96,6.00
275,Nov-96,6.00
276,Oct-96,6.00
277,Sep-96,5.75
278,Aug-96,5.75
279,Jul-96,5.75
280,Jun-96,5.75
281,May-96,6.00
282,Apr-96,6.00
283,Mar-96,6.00
284,Feb-96,6.25
285,Jan-96,6.25
286,Dec-95,6.50
287,Nov-95,6.75
288,Oct-95,6.75
289,Sep-95,6.75
290,Aug-95,6.75
291,Jul-95,6.75
292,Jun-95,6.75
293,May-95,6.75
294,Apr-95,6.75
295,Mar-95,6.75
296,Feb-95,6.75
297,Jan-95,6.25
298,Dec-94,6.25
299,Nov-94,5.75
300,Oct-94,5.75
301,Sep-94,5.75
302,Aug-94,5.25
303,Jul-94,5.25
304,Jun-94,5.25
305,May-94,5.25
306,Apr-94,5.25
307,Mar-94,5.25
308,Feb-94,5.25
309,Jan-94,5.50
310,Dec-93,5.50
311,Nov-93,5.50
312,Oct-93,6.00
313,Sep-93,6.00
314,Aug-93,6.00
315,Jul-93,6.00
316,Jun-93,6.00
317,May-93,6.00
318,Apr-93,6.00
319,Mar-93,6.00
320,Feb-93,6.00
321,Jan-93,6.00
322,Dec-92,7.00
323,Nov-92,7.00
324,Oct-92,8.00
325,Sep-92,9.00
326,Aug-92,10.00
327,Jul-92,10.00
328,Jun-92,10.00
329,May-92,10.00
330,Apr-92,10.50
331,Mar-92,10.50
332,Feb-92,10.50
333,Jan-92,10.50
334,Dec-91,10.50
335,Nov-91,10.50
336,Oct-91,10.50
337,Sep-91,10.50
