Date,Value
2018,0.0092723
2017,0.0091940
2016,0.0090971
2015,0.0092579
2014,0.0088292
2013,0.0089923
2012,0.0089322
2011,0.0087261
2010,0.0089495
2009,0.0089883
2008,0.0093766
2007,0.0093721
2006,0.0094074
2005,0.0096496
2004,0.0097546
2003,0.0102636
2002,0.0102424
2001,0.0102244
2000,0.0103688
1999,0.0107265
1998,0.0107327
1997,0.0108467
1996,0.0109840
1995,0.0110593
1994,0.0108227
1993,0.0114044
1992,0.0110140
1991,0.0112499
1990,0.0112129
1989,0.0115237
1988,0.0114058
1987,0.0113433
1986,0.0116565
1985,0.0118587
1984,0.0114328
1983,0.0117037
1982,0.0117746
1981,0.0116750
1980,0.0117437
1979,0.0120124
1978,0.0118761
1977,0.0116594
1976,0.0121104
1975,0.0117825
1974,0.0118672
1973,0.0119114
1972,0.0120139
1971,0.0115341
